Refs,datasheet,digi#,footprint,mouser#,value
C101,,,w_smd_cap:c_0805,81-GRM40X103K50D,10nf
C102,,,w_smd_cap:c_0805,81-GRM40X103K50D,10nf
C103,,,w_smd_cap:c_1210,77-VJ1210V106ZXJTBC,10uf
C104,,,w_smd_cap:c_0805,81-GCM21BR71H104KA37,0.1uf
C105,,,w_smd_cap:c_0805,81-GCM21BR71H104KA38,0.1uf
C106,,,w_smd_cap:c_0805,81-GCM21BR71H104KA39,0.1uf
C107,,,w_smd_cap:c_0805,81-GCM21BR71H104KA40,0.1uf
C108,,,w_smd_cap:c_0805,81-GCM21BR71H104KA41,0.1uf
C109,,,w_smd_cap:c_0805,81-GCM21BR71H104KA42,0.1uf
D101,,,w_smd_diode:sod323,726-BAT60AE6327HTSA1,BAT60
D102,,,w_smd_leds:Led_0805,604-AP2012YD,LED
D103,,,w_smd_leds:Led_0805,604-AP2012YD,LED
D104,,,w_smd_leds:Led_0805,604-AP2012YD,LED
D105,,,w_smd_leds:Led_0805,604-AP2012YD,LED
F101,,,w_smd_resistors:r_1210,652-MF-USMF050-2,FUSE
LDR101,,PDV-P8103-ND,,,LDR
P1,,,Socket_Arduino_Uno:Socket_Strip_Arduino_1x08,474-PRT-09279,Power
P101,,,w_conn_pc:conn_usb_B_micro_smd,,USB_OTG
P102,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P103,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P104,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P105,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P106,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P107,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P108,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P109,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P110,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P111,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P112,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P113,,,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,TST
P2,,,Socket_Arduino_Uno:Socket_Strip_Arduino_1x06,474-PRT-09280,Analog
P3,,,Socket_Arduino_Uno:Socket_Strip_Arduino_1x10,474-PRT-11376,Digital
P4,,,Socket_Arduino_Uno:Socket_Strip_Arduino_1x08,474-PRT-09279,Digital
P5,,,Socket_Arduino_Uno:Arduino_1pin,,CONN_01X01
P6,,,Socket_Arduino_Uno:Arduino_1pin,,CONN_01X01
P7,,,Socket_Arduino_Uno:Arduino_1pin,,CONN_01X01
P8,,,Socket_Arduino_Uno:Arduino_1pin,,CONN_01X01
Q101,,,w_smd_trans:sot23,771-PMV48XP215,Q_PMOS_GDS
R101,,,w_smd_resistors:r_0805,ERJ-6ENF1000V,100
R102,,,w_smd_resistors:r_0805,ERJ-6GEYJ103V,10k
R103,,,w_smd_resistors:r_0805,ERJ-6GEY0R00V,0
R104,,,w_smd_resistors:r_0805,ERJ-6GEY0R00V,0
R105,,,w_smd_resistors:r_0805,ERJ-6GEYJ391V,390
R106,,,w_smd_resistors:r_0805,ERJ-6GEYJ391V,390
R107,,,w_smd_resistors:r_0805,ERJ-6GEYJ123V,12k
R108,,,w_smd_resistors:r_0805,ERJ-6GEYJ391V,390
R109,,,w_smd_resistors:r_0805,ERJ-6GEYJ104V,100k
R110,,,w_smd_resistors:r_0805,ERJ-6GEYJ103V,10k
R111,,,w_smd_resistors:r_0805,ERJ-6ENF4992V,50k
R112,,,w_smd_resistors:r_0805,ERJ-6GEYJ241V,240
R113,,,w_smd_resistors:r_0805,ERJ-6GEYJ391V,390
R114,,,w_smd_resistors:r_0805,ERJ-6GEYJ391V,390
R115,,,w_smd_resistors:r_0805,ERJ-6GEYJ391V,390
R116,,,w_smd_resistors:r_0805,ERJ-6GEYJ391V,390
R117,,,w_smd_resistors:r_0805,ERJ-6GEYJ391V,390
R118,,,w_smd_resistors:r_0805,ERJ-6ENF4991V,5k
R119,,,w_smd_resistors:r_0805,ERJ-6ENF4991V,5k
SW101,,,w_switch:PCB_PUSH,506-FSM4JAH,FLASH
SW102,,,w_switch:PCB_PUSH,506-FSM4JAH,ENABLE
SW103,,,project_foot:OS102011MS2QN1 Slide Switch,611-OS102011MS2QN1,SWITCH_INV
SW104,,,project_foot:OS102011MS2QN1 Slide Switch,611-OS102011MS2QN1,SWITCH_INV
SW105,,,project_foot:OS102011MS2QN1 Slide Switch,611-OS102011MS2QN1,SWITCH_INV
U101,,,w_smd_trans:sot223,926-M1117IMPXADJNOPB,LM1117IMPX-ADJ
U102,,,w_smd_qfn:qfn-28,634-CP2102-GM ,CP2102
U103,,,project_foot:ESP32-WROOM,,ESP32-WROOM
C110,,,w_smd_cap:c_1206,TAJA476K006SNJV,47uf/6v
